"IDENTIFIER","IDN_TRB_NM","TRIBE_AFFILIATION","LGC_ID"
BPaR5Vjq25,Evansville Village (Bettles Field) ,Evansville                              ,"0061"
kVBH80Jq25,Native Village of Eyak (Cordova)   ,Eyak                                    ,"0316"
"2edldwVq25",Native Village of False Pass       ,False Pass                              ,"0318"
U9xFXNbq25,Confederated Salish&Kootenai Trbs/F,Flathead                                ,"0438"
kVTRSKRq25,Native Village of Fort Yukon       ,Fort Yukon                              ,"0321"
"0EKJTOpq25",Native Village of Gakona           ,Gakona                                  ,"0322"
FwsLnAdq25,Galena Village (aka Louden Village),Galena                                  ,"0067"
"0X4ySB1q25",Native Village of Gambell          ,Gambell                                 ,"0068"
"0ppdQxDq25",Native Village of Georgetown       ,Georgetown                              ,"0069"
"18aIPjPq25",Native Village of Goodnews Bay     ,Goodnews Bay                            ,"0072"
H9sziHPq25,Confederated Tribes/the Goshute Res,Goshute                                 ,"0323"
